Time,Va,Vb,Vc,Ia,Ib,Ic
0,0.134479850980899,-0.607383392316598,0.431288474124208,-52.7676448974735,4.30998860480866,52.4679323978774
5e-05,0.171650003524452,-0.574157181685156,0.453806608137062,-55.3176791345014,3.46667141117161,56.3235083481907
0.0001,0.168985609058083,-0.567178293760995,0.413210426681849,-52.7966413120554,2.46017317219313,52.8244899899546
0.00015,0.177257129986563,-0.586034952402428,0.42549965238412,-63.4309448675419,1.36544430884169,50.8849682333187
0.0002,0.160496319477526,-0.615978017291293,0.376434960447756,-56.5367541010456,0.369369411436196,58.86943066937
0.00025,0.194753308591931,-0.555923099280979,0.411080506289999,-51.7076460222158,-0.658255802030878,57.2928582792013
0.0003,0.190339653844064,-0.577447227981644,0.396545738459376,-54.7279535301969,-1.55771414886149,52.67552424174
0.00035,0.240139791074868,-0.56304356979431,0.408702569704693,-50.9728820503848,-2.79244933440496,58.2388527461002
0.0004,0.227171237286296,-0.625983284239775,0.408998301129184,-51.8141193691782,-3.42802960988655,58.3346877576209
0.00045,0.281415065537291,-0.577495596506922,0.419020773897456,-53.8672950019972,-5.05472301439495,52.8956524404806
0.0005,0.254606008315272,-0.550293380814411,0.404591568825638,-51.0644526367885,-5.97176256487641,54.4908878968693
0.00055,0.310070236780623,-0.575012770788805,0.449885469278055,-49.1919142069825,-6.47033645642241,58.44337319997
0.0006,0.28662057106129,-0.571336870797204,0.375551078919396,-44.6315974913553,-7.63028255893752,57.9970479013898
0.00065,0.288309521453811,-0.573110312167336,0.353609779193807,-46.627225476063,-8.47490772042626,54.6040895999279
0.0007,0.317609572845514,-0.577523221323521,0.380733934737122,-51.4649763013737,-9.37324747160446,59.1334465648137
0.00075,0.278744426190421,-0.592020874836445,0.338322740836779,-51.1813794445831,-10.5708999554328,54.439078648615
0.0008,0.298115594664468,-0.58466912441109,0.308102368194371,-45.6412728937484,-12.1602103541349,52.5249939705778
0.00085,0.323362796431555,-0.59614629424152,0.326834549069331,-45.2078342659963,-13.3778593639951,57.3462144243888
0.0009,0.321074607149257,-0.601791264087209,0.336181118370946,-47.6363631512164,-14.167014297139,57.6897340174051
0.00095,0.350181548773438,-0.599976885927481,0.325306693549791,-44.4454704833154,-13.742611946118,59.9668903777447
0.001,0.386009001293338,-0.550487659172791,0.356506536320438,-49.1574323772418,-16.2547272025108,60.5465020075848
0.00105,0.350999112493785,-0.560738246950262,0.298265392953221,-43.6595252100352,-16.8925263607686,61.5300871086142
0.0011,0.375820602868686,-0.565903151048081,0.313576204881497,-45.1660177862191,-17.9198332730308,67.9338665270332
0.00115,0.38729128653147,-0.62731557869827,0.295416324636762,-46.0380938850717,-19.0319477330161,63.9501780470933
0.0012,0.416218792769823,-0.563689985701364,0.315149056051653,-43.2197829076981,-17.7836270594124,66.8841637306809
0.00125,0.381435459058611,-0.611795183761154,0.273081283371477,-41.5309532486208,-20.6327701150754,64.2177643455778
0.0013,0.409752163129726,-0.569018459857282,0.291335271176262,-38.1298053048891,-21.5803972714411,55.2326031098271
0.00135,0.372618331941909,-0.601301578573724,0.220286869630145,-38.52253719187,-22.7901126196283,67.9669640278517
0.0014,0.416521518160996,-0.567210321168433,0.252794794260848,-40.9364109324459,-20.8337115300076,68.5638787519837
0.00145,0.41986306284163,-0.560027212166815,0.239645936507646,-40.0430557589312,-24.8757985383873,63.0319567974789
0.0015,0.415807880466786,-0.577570733469243,0.224970712214889,-37.9253833800406,-26.0802839648639,64.4449565065397
0.00155,0.392316767539107,-0.556631899416495,0.179026176705238,-40.6126958597027,-26.2973882762398,63.9941530366753
0.0016,0.429358515019598,-0.570402397304242,0.204385706823613,-33.338734217717,-25.9746176481714,60.3172804580897
0.00165,0.429560088040258,-0.528450262735935,0.193513419234223,-31.0927703118628,-26.5977898526463,61.4362651773166
0.0017,0.404487568350422,-0.565726224095744,0.156958095181028,-36.0669613382702,-29.4556952797432,67.4990956892903
0.00175,0.449082367124083,-0.592762402938511,0.163995018283045,-33.0191730621165,-27.7890462727178,62.0760927925968
0.0018,0.447813703783437,-0.571124662372339,0.161598743028963,-36.0970013217224,-29.9837894675381,66.6733739771463
0.00185,0.449576761127732,-0.574491601998737,0.137461692168998,-33.0066795142381,-28.126659860806,62.8924544694066
0.0019,0.468809425335249,-0.572134448628408,0.1364225518242,-28.9317831609876,-30.8184046085486,67.6442853616911
0.00195,0.458156275973502,-0.549079550706513,0.134802095777162,-29.8673652082123,-34.0916288314343,59.0692377362801
0.002,0.458992434754074,-0.588111558919953,0.103317474741559,-30.114972331464,-34.6096601980248,70.0371098384871
0.00205,0.483613324199769,-0.547726338200159,0.114691305957714,-30.0009442995022,-30.5203752993256,65.598475882587
0.0021,0.480873493310875,-0.548407988927197,0.0910527572911542,-28.7657274724113,-33.5764530360796,61.6996911541992
0.00215,0.476716661268852,-0.574350700924396,0.0786380094108853,-26.5351062013688,-34.1592412071715,61.8035466447683
0.0022,0.471506013237285,-0.56235887216134,0.0623647289169376,-25.3913558236678,-36.438266078384,66.8406432019145
0.00225,0.507372260716818,-0.523469286060849,0.0755552699125105,-27.0061781891255,-37.4926177975107,66.5009846124191
0.0023,0.498158931486475,-0.513279226785028,0.0546752996795244,-26.1844956486126,-35.2886825022078,62.0331250499603
0.00235,0.498844879501144,-0.558238531840014,0.0321916475544454,-24.3068295920679,-40.5285230948321,62.0280598793471
0.0024,0.491555968772283,-0.582011337058213,0.00677677016891945,-22.9451458307901,-40.3224119515385,64.7115754373246
0.00245,0.486400324808572,-0.582061750063303,-0.0134737323775039,-21.8359240272115,-44.1335273994297,65.8211327294646
0.0025,0.473474154776101,-0.56994776993828,-0.0219411397834548,-19.9403341621282,-43.4337077489986,61.8750835017969
0.00255,0.505177474267032,-0.551233295864412,-0.0144269002350732,-18.6966921288464,-43.4929627113886,61.0573704900115
0.0026,0.474082532731752,-0.522276548661751,-0.0462235844982708,-19.2105033602344,-47.5175813629259,62.3663935895507
0.00265,0.50044248824714,-0.509901232161107,-0.0333981590603636,-18.3249646076296,-44.6011028156387,59.9626482411577
0.0027,0.523842322595788,-0.525750682383379,-0.0368133596409441,-17.7057025076781,-46.1540207797621,59.2608920264604
0.00275,0.519798536523457,-0.577425683864889,-0.0734991015634151,-16.0706550686762,-45.4598589048206,59.035640664208
0.0028,0.49500522198036,-0.519244950158236,-0.0866727550397019,-15.4604825079229,-44.3370935273044,64.3750763665987
0.00285,0.5375262741829,-0.517229549170804,-0.0686748396702484,-12.509178067745,-45.5706109067752,58.8025577444808
0.0029,0.501449083932961,-0.535003062418658,-0.113057467942246,-13.3392486480245,-43.5136247304693,60.3712345807521
0.00295,0.517021532261256,-0.557278947395225,-0.12812219861721,-12.4205036992814,-46.7396135914778,59.3564110014292
0.003,0.528249376789977,-0.495992450968496,-0.0963336668446874,-11.443219238912,-46.8323681945338,63.3048472644448
0.00305,0.519860733458737,-0.530265915508456,-0.13345101575406,-10.2431650838876,-52.0591240867036,54.7679404018506
0.0031,0.562333580143962,-0.489056761517354,-0.111331418099131,-10.783644333154,-51.8299856318129,64.0605282080738
0.00315,0.553139196568243,-0.488746042892915,-0.139541906138945,-7.90610321248938,-52.557622982778,57.8021858128629
0.0032,0.567383269029388,-0.46990764035064,-0.148298278937544,-6.60213633421863,-51.4604930844383,57.5696515841685
0.00325,0.571587135682361,-0.448958388404984,-0.133521477988039,-6.21410736708963,-55.5930877437778,55.1409148986894
0.0033,0.51519291107621,-0.485520592255593,-0.183169100865799,-5.28682892053184,-52.6631679352832,58.9097419396754
0.00335,0.548972903154396,-0.473352070265322,-0.162134453472929,-3.99424847101024,-55.3421432500627,54.3001484469602
0.0034,0.563965995119913,-0.446680653573549,-0.158337383832779,-3.20103537440603,-51.387410778097,60.7964546730651
0.00345,0.604839636274197,-0.459457337168843,-0.183744419702191,-1.97446327806997,-58.1080448058384,54.4978143291752
0.0035,0.545901578104348,-0.447888831621429,-0.217310084164401,-1.03598655795257,-53.98061567396,56.0031730329722
0.00355,0.545166889736118,-0.458109577579601,-0.237537632135915,-0.0556384040556071,-54.3709745760771,52.6641235573012
0.0036,0.587350574341537,-0.405363943267353,-0.203645758427012,0.936328977860159,-57.8552682443402,54.518565189744
0.00365,0.56965675073394,-0.435855934328165,-0.238010324087191,1.85213538796336,-50.0621578199915,48.9098518384917
0.0037,0.547348692365089,-0.449648228853853,-0.244608763827024,2.76417861067272,-54.0685185924576,55.4215624560956
0.00375,0.555087151272281,-0.381288940943928,-0.233410061223727,3.98654253748936,-60.5556638532827,52.4611726796507
0.0038,0.556266453855895,-0.380162558640583,-0.25404357057703,4.82307998537306,-59.7866211287003,50.2695463367905
0.00385,0.606046899495699,-0.3475926109026,-0.236592181262936,5.93140781524661,-61.3474641839503,54.6878534314657
0.0039,0.590004091838388,-0.358366748039585,-0.27210689592094,7.34376516979559,-58.7204315623545,49.2233122045624
0.00395,0.581186202908161,-0.37915951525556,-0.289837594369193,8.69503911781797,-60.098616144582,47.3473408125639
0.004,0.623587935778881,-0.337887639399047,-0.267786040673451,8.56024335849029,-63.8642093044325,50.0042010161783
0.00405,0.622935968577563,-0.342199242710815,-0.258354066608196,10.3041713414823,-59.2233004508726,50.0447879019914
0.0041,0.622970224243897,-0.30740624739442,-0.258116287934664,10.4215374385882,-59.0934263638868,51.6508853700477
0.00415,0.639786285204113,-0.300238597092371,-0.272864108281831,11.6968560032222,-61.3400568624605,50.6853940946441
0.0042,0.599225528903854,-0.291920403156514,-0.285725785792289,13.1062706940937,-59.2193300535497,45.1816711522986
0.00425,0.622039417386748,-0.285897271308813,-0.286387815320833,13.2340210291465,-58.0869856059994,47.0591298216295
0.0043,0.626049320506348,-0.273617179723449,-0.308688521593455,15.4048384779245,-62.3015433759552,47.4940998355831
0.00435,0.622313016945467,-0.257084226666951,-0.304353655115559,15.8724821829026,-54.8771545419295,45.124881212424
0.0044,0.610839201720418,-0.278966229945409,-0.328809859868852,16.6910920846959,-65.3883977482696,45.7675632500089
0.00445,0.623383602682738,-0.23188469576895,-0.278106811510731,16.644622691436,-67.9568069032837,46.7667875582302
0.0045,0.597466383624439,-0.243583599487717,-0.315387666988679,18.3315970160987,-62.3932931791646,42.0795628194887
0.00455,0.634335910809103,-0.203524569187648,-0.306163699212177,20.6805341209316,-57.0430441847664,41.1656151505377
0.0046,0.638360899149227,-0.217274196835013,-0.35197170804734,19.9075584298264,-63.2329208507829,43.4882033982016
0.00465,0.630179299262478,-0.247817438873217,-0.401875246226032,20.7029553033332,-63.4246091606194,39.4315925029844
0.0047,0.629870522193285,-0.189027064413328,-0.327441311789078,21.841446539574,-62.605491977577,38.7935901997806
0.00475,0.636145658159107,-0.184308582997879,-0.357272729096936,22.5737580018838,-57.6747436314105,37.5828885702
0.0048,0.627882557400846,-0.160140948974964,-0.374165765825869,24.0721690061026,-62.3301223160137,41.50131515818
0.00485,0.621604472699953,-0.134519144501776,-0.304248398379203,25.8457865815378,-65.9609631440529,37.4455467245809
0.0049,0.598214011375819,-0.180988333223933,-0.388142122903349,24.7118359215066,-63.7587141829367,35.8812939415714
0.00495,0.597701523447183,-0.131225243823928,-0.37445362088134,26.8135144496834,-55.1130126603332,37.7275421580951
0.005,0.633558142712158,-0.135389816733296,-0.385676220097208,28.9107114121837,-64.6565603232876,34.241842828266
0.00505,0.585138917950599,-0.146313702432796,-0.390706135832152,28.899548403241,-62.7980041966434,35.6508643430386
0.0051,0.622641072446656,-0.109367844127331,-0.413821488573367,29.3627753534687,-65.5701188218221,36.2449077898489
0.00515,0.631154239591765,-0.081433989171326,-0.377878382902494,31.1700976838633,-60.6347670336828,34.0136150939908
0.0052,0.608779464420003,-0.101681189817034,-0.418578287964347,32.9208279933825,-64.7054188810842,30.2888164536255
0.00525,0.623173924723546,-0.0634315209960628,-0.389842653644578,30.9588148513752,-67.4576102039534,31.9097626271987
0.0053,0.590288596693023,-0.0981435373093799,-0.447050632085445,33.1882768429704,-65.7947617302905,32.0010183250608
0.00535,0.624845206334917,-0.0590474635542617,-0.425491532068903,34.6285174971881,-67.8123079572077,28.9895511390864
0.0054,0.613688556035916,-0.0705490262664804,-0.467336631656098,33.0320590290517,-55.2531835886412,29.5164016448838
0.00545,0.555011661185801,-0.089279597728768,-0.466666897138231,35.8274443631092,-70.7214534661234,26.44009120258
0.0055,0.537500236247687,-0.0712747228080836,-0.455430086436796,32.6941850199721,-67.3747153475761,26.9731404031362
0.00555,0.549295418507558,-0.0614264137479058,-0.48142054922041,39.4630521350066,-66.0225549858257,25.6539076937076
0.0056,0.599598959470773,-0.0289909742081646,-0.494043930684296,36.1060627069211,-63.7854821265636,24.8915524616358
0.00565,0.55467141319425,-0.0304377125831478,-0.468467276525254,37.1163071813104,-65.0083906668286,24.0383724021651
0.0057,0.584987117937329,-0.0075150323759771,-0.494453264548722,39.601517745864,-62.5619748460777,25.164342278039
0.00575,0.534537546116717,-0.0343999859481441,-0.541760196358831,40.423370256843,-64.6264512550107,21.6450654409819
0.0058,0.550231076956457,-0.0195079184824653,-0.524427071244572,35.8857952079705,-65.0327221016996,20.17860015961
0.00585,0.509577502440606,-0.00922883436869707,-0.514986631319269,42.9112574789804,-56.3301309362888,20.0300933400964
0.0059,0.535635046116159,0.0119036184107242,-0.524064608252675,38.716605657156,-62.9082101724922,19.1406007417943
0.00595,0.490992394149147,-0.00787571973824629,-0.532189030537157,44.835394873537,-62.7082884745564,19.2756233396652
0.006,0.550135915525183,0.0234775936275388,-0.534241758058118,44.8787980657409,-61.9092776778052,19.118977642923
0.00605,0.510181383420779,0.0188320384171725,-0.57649685181469,45.6660854086287,-60.677836695604,15.4206867515456
0.0061,0.513736568998148,0.0333564835142014,-0.561825500818896,43.1379106634902,-62.3055329782705,14.8572002415396
0.00615,0.492112843447115,0.0482318808527653,-0.531698035130433,40.3549478820315,-59.160412134154,16.308102445996
0.0062,0.479910819047321,0.0463773003732272,-0.532032723364241,43.6822140564288,-62.5181895104642,14.5889777137699
0.00625,0.486622074751541,0.0656965968925456,-0.541755468420716,42.9748425909727,-56.8594885899279,13.8676440811548
0.0063,0.455727704645681,0.0364412890003237,-0.580536745355847,47.1843146272387,-63.1122274056151,12.0763200975078
0.00635,0.478123251722583,0.088458204358699,-0.557579935760477,49.2650565164581,-54.7205515371011,10.2832384548184
0.0064,0.442882796502238,0.0598858559944465,-0.615521952999919,48.3516030650218,-61.0754213134926,9.57090764891605
0.00645,0.417556454621201,0.0722563197230413,-0.585257072324335,50.1917015153709,-58.6578045681663,9.21144610453169
0.0065,0.432863074841726,0.0863347471670194,-0.588186455704454,45.5754069233931,-51.838715591208,7.63996519826842
0.00655,0.430413231172065,0.107489346471218,-0.556380972769387,52.7113941104173,-54.9177951511841,6.89939128730413
0.0066,0.396581322069245,0.0966639106813588,-0.589666172229991,56.409599246209,-60.6530947990817,6.083368841198
0.00665,0.406154499699072,0.100436628435383,-0.657809118338354,49.8084232295438,-49.62824866506,4.6316802396606
0.0067,0.41453161606187,0.136279825322917,-0.595143254804112,51.4428787252966,-57.5037894617744,3.64985969106234
0.00675,0.390057579834659,0.123627392637278,-0.616204478097787,54.4661015786905,-53.378162763157,2.64645608825423
0.0068,0.402794504604581,0.163937719881757,-0.596065706452781,55.0285753410146,-59.2576501425383,1.60155541993177
0.00685,0.389761143466603,0.146757692327487,-0.645498900378238,58.4125649411296,-57.3360435417365,0.753573580896968
0.0069,0.362155034222499,0.152462012073157,-0.639664726685285,51.9629225343594,-50.4350836911316,-0.269373142461842
0.00695,0.365931253504426,0.166290560660267,-0.642695932368413,52.1266346882758,-57.4707624705215,-1.37031221642604
0.007,0.389802010745332,0.204527087803928,-0.606085033400962,50.3450737174104,-54.8393818491464,-2.15665701509588
0.00705,0.334038061394593,0.155272531035079,-0.664655026964112,52.1593386191222,-57.8787661152341,-3.2723251834069
0.0071,0.337114671727583,0.194151285538555,-0.593507275856898,58.8017023749584,-48.8330434212536,-4.29149953184913
0.00715,0.349044318174936,0.220132833819893,-0.633202020670082,57.2945948256558,-53.3411892932515,-5.10379131757951
0.0072,0.349970728700572,0.224917497011043,-0.587035336082191,60.0707020565177,-51.9185417454837,-6.03458826314418
0.00725,0.348044412704508,0.238658508996122,-0.597611435361968,63.3303427252241,-51.9260727297243,-7.53125875706113
0.0073,0.317592778742629,0.231274810833831,-0.617761537753116,58.460444133836,-52.6040937197129,-8.02347417703871
0.00735,0.314355951077788,0.254109749672356,-0.611748541313834,62.9855782576202,-50.9439990314715,-9.32964457076996
0.0074,0.315546910050703,0.266741606714918,-0.603015252087638,57.0509073450986,-48.3213911453197,-10.1845250742699
0.00745,0.307242247787512,0.258451612740213,-0.665875203474302,59.0807648685759,-48.5361304787553,-10.1302521298939
0.0075,0.315265163532997,0.301030763422581,-0.607161840731789,55.8687410006813,-43.147409868419,-12.4872905933091
0.00755,0.303091327296895,0.297924838031527,-0.621038105415391,61.572539757438,-45.9211603541808,-14.1934783218336
0.0076,0.285476787366734,0.290068122441386,-0.606319302299222,61.27292952507,-48.3364730747495,-14.6612803501808
0.00765,0.285486765724879,0.326468940235506,-0.586149744561466,56.7249962816594,-43.0659323913675,-14.1365097438078
